Haplotype,mean,median,min,max
haplotype1-0000109,2.0,2,2,2
haplotype1-0000110,40.15367429635308,42,2,82
haplotype1-0000111,42.19566853415837,38,2,84
haplotype1-0000112,55.45593989669745,54,4,76
haplotype1-0000113,3.2647613520963294,2,2,18
haplotype1-0000114,2.0,2,2,2
haplotype1-0000115,27.92381195832116,20,0,136
haplotype1-0000116,31.74693673088711,26,0,164
haplotype1-0000117,62.818574441728884,72,2,112
haplotype1-0000118,121.81840086743505,120,0,226
haplotype1-0000119,298.5823327269052,312,4,512
haplotype1-0000120,60.03356425088563,62,6,122
haplotype1-0000121,73.6447908213867,70,2,150
haplotype1-0000122,64.62754989158812,26,0,244
haplotype1-0000123,70.55060259579729,84,0,120
haplotype1-0000124,7.541348083075755,10,2,10
haplotype1-0000125,58.97500730780474,66,0,106
haplotype1-0000126,78.6609163928441,96,2,110
haplotype1-0000127,46.917069664096196,50,0,82
haplotype1-0000128,78.05843055140093,92,2,98
haplotype1-0000129,1.9998495335540174,2,0,2
haplotype1-0000130,6.327281750134403,6,0,10
haplotype1-0000131,681.1575443132116,658,0,1426
haplotype1-0000132,121.13951274652706,92,0,340
haplotype1-0000133,54.25025997553941,54,2,206
haplotype1-0000134,27.531612219095397,28,0,52
haplotype1-0000135,26.764539117097087,26,0,78
haplotype1-0000136,64.43969676085459,70,6,98
haplotype1-0000137,51.86332666583323,60,2,88
haplotype1-0000138,17.271061671846883,18,0,18
haplotype1-0000139,6.536276391554702,8,0,12
haplotype1-0000140,42.45257617167729,52,2,62
haplotype1-0000141,298.14404432132966,328,0,554
haplotype1-0000142,146.577827101474,136,0,300
haplotype1-0000143,62.26495540569937,70,2,116
haplotype1-0000144,35.29774086707202,38,2,86
haplotype1-0000145,66.51213798861397,60,2,176
haplotype1-0000146,27.111891620672353,32,0,40
haplotype1-0000147,2.0,2,2,2
