Read_Length	Read_Numbers	Flowcell_ID	Platform
7700	15471	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7800	15053	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7900	14974	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8000	14922	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8100	14641	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8200	14471	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8300	14172	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8400	14008	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8500	13934	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8600	13639	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8700	13646	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8800	13556	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
8900	13408	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9000	13125	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9100	13228	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9200	12969	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9300	13012	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9400	12654	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9500	12268	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9600	12453	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9700	12316	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9800	12173	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
9900	11793	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10000	11773	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10100	11651	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10200	11662	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10300	11762	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10400	11462	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10500	11404	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10600	11191	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10700	11210	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10800	11125	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
10900	10951	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11000	10931	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11100	10753	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11200	10791	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11300	10607	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11400	10356	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11500	10366	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11600	10428	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11700	10196	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11800	10362	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
11900	9984	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12000	9906	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12100	9966	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12200	9936	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12300	9998	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12400	9852	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12500	9880	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12600	9664	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
12700	9481	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
