Read_Length	Read_Numbers	Flowcell_ID	Platform
36100	4	TEMPHIFI	PacBio
36200	4	TEMPHIFI	PacBio
36300	2	TEMPHIFI	PacBio
36400	1	TEMPHIFI	PacBio
36500	4	TEMPHIFI	PacBio
36700	5	TEMPHIFI	PacBio
36800	1	TEMPHIFI	PacBio
36900	2	TEMPHIFI	PacBio
37000	3	TEMPHIFI	PacBio
37300	2	TEMPHIFI	PacBio
37400	1	TEMPHIFI	PacBio
37600	1	TEMPHIFI	PacBio
37800	2	TEMPHIFI	PacBio
37900	2	TEMPHIFI	PacBio
38100	1	TEMPHIFI	PacBio
38200	1	TEMPHIFI	PacBio
38400	1	TEMPHIFI	PacBio
38700	1	TEMPHIFI	PacBio
38800	1	TEMPHIFI	PacBio
39000	1	TEMPHIFI	PacBio
39500	1	TEMPHIFI	PacBio
40100	1	TEMPHIFI	PacBio
41500	1	TEMPHIFI	PacBio
41700	1	TEMPHIFI	PacBio
47400	1	TEMPHIFI	PacBio
