Read_Length,QV,Read_Numbers
5300,15,1656
5300,16,2017
5300,17,2369
5300,18,2793
5300,19,3339
5300,20,4047
5300,21,4617
5300,22,4808
5300,23,4159
5300,24,2844
5300,25,1459
5300,26,581
5300,27,144
5300,28,30
5300,29,7
5400,9,1
5400,10,12
5400,11,283
5400,12,671
5400,13,990
5400,14,1296
5400,15,1705
5400,16,2053
5400,17,2323
5400,18,2684
5400,19,3239
5400,20,3841
5400,21,4429
5400,22,4644
5400,23,4146
5400,24,2697
5400,25,1385
5400,26,571
5400,27,170
5400,28,34
5400,29,9
5400,30,1
5500,10,11
5500,11,295
5500,12,715
5500,13,1034
5500,14,1280
5500,15,1621
5500,16,2011
5500,17,2286
5500,18,2603
5500,19,3118
5500,20,3699
5500,21,4300
5500,22,4528
5500,23,3947
5500,24,2619
5500,25,1465
5500,26,559
5500,27,152
5500,28,28
5500,29,4
5500,30,1
5500,31,2
5500,33,2
5600,10,13
5600,11,255
5600,12,668
5600,13,928
5600,14,1259
5600,15,1526
5600,16,1933
5600,17,2099
5600,18,2568
5600,19,3006
5600,20,3736
5600,21,4215
5600,22,4481
5600,23,3891
5600,24,2611
5600,25,1344
5600,26,497
5600,27,160
5600,28,33
5600,29,5
5600,30,1
5600,31,1
5600,33,1
5700,8,1
5700,10,8
5700,11,294
5700,12,668
5700,13,920
5700,14,1176
5700,15,1530
5700,16,1802
5700,17,2156
5700,18,2464
5700,19,3030
5700,20,3577
5700,21,4237
5700,22,4308
5700,23,3702
5700,24,2451
5700,25,1327
5700,26,544
5700,27,149
5700,28,28
5700,29,6
5700,30,2
5800,9,1
5800,10,9
5800,11,258
5800,12,606
5800,13,909
5800,14,1186
5800,15,1587
5800,16,1841
5800,17,2039
5800,18,2418
5800,19,3016
5800,20,3560
5800,21,4005
5800,22,4234
5800,23,3716
5800,24,2526
5800,25,1235
5800,26,523
5800,27,112
5800,28,22
5800,29,2
5800,33,1
5900,10,9
5900,11,254
5900,12,598
5900,13,845
5900,14,1129
5900,15,1472
5900,16,1743
5900,17,2081
5900,18,2380
5900,19,2901
5900,20,3476
5900,21,4107
5900,22,4035
5900,23,3538
5900,24,2423
5900,25,1245
5900,26,472
5900,27,134
5900,28,22
5900,29,9
6000,9,2
6000,10,10
6000,11,277
6000,12,641
6000,13,824
6000,14,1060
6000,15,1458
6000,16,1764
6000,17,1937
6000,18,2314
6000,19,2718
6000,20,3423
6000,21,3900
6000,22,3910
6000,23,3428
6000,24,2324
6000,25,1160
6000,26,454
6000,27,139
6000,28,22
6000,29,2
6000,30,2
6100,9,2
6100,10,3
6100,11,246
6100,12,584
6100,13,867
6100,14,1127
6100,15,1391
6100,16,1754
6100,17,1927
6100,18,2275
6100,19,2760
6100,20,3265
6100,21,3796
6100,22,3831
6100,23,3327
6100,24,2247
6100,25,1193
6100,26,455
6100,27,111
6100,28,20
6100,29,3
6100,30,1
6200,9,4
6200,10,17
6200,11,239
6200,12,562
6200,13,832
6200,14,1076
6200,15,1347
6200,16,1625
6200,17,1830
6200,18,2238
6200,19,2628
6200,20,3198
6200,21,3662
6200,22,3789
6200,23,3288
6200,24,2263
6200,25,1181
6200,26,434
6200,27,107
6200,28,33
6200,29,5
6200,30,1
6200,31,1
6300,9,1
6300,10,4
6300,11,253
6300,12,577
6300,13,723
6300,14,1015
6300,15,1307
6300,16,1570
6300,17,1847
6300,18,2152
6300,19,2625
6300,20,3087
6300,21,3525
6300,22,3683
6300,23,3138
6300,24,2155
6300,25,1121
6300,26,412
6300,27,120
6300,28,27
6300,29,3
6300,30,2
6300,31,1
6400,9,3
6400,10,6
6400,11,201
6400,12,535
6400,13,773
6400,14,989
6400,15,1319
6400,16,1618
6400,17,1848
6400,18,2041
6400,19,2524
6400,20,2968
6400,21,3627
6400,22,3518
6400,23,3049
6400,24,2172
6400,25,1055
6400,26,478
6400,27,121
6400,28,14
6400,29,3
6500,9,1
6500,10,13
6500,11,205
6500,12,520
6500,13,743
6500,14,1027
6500,15,1220
6500,16,1558
6500,17,1804
6500,18,1956
6500,19,2460
6500,20,2990
6500,21,3308
6500,22,3491
6500,23,3075
6500,24,2054
6500,25,1087
6500,26,442
6500,27,116
6500,28,27
6500,29,7
6600,9,1
6600,10,7
6600,11,207
6600,12,520
6600,13,739
6600,14,977
6600,15,1243
6600,16,1492
6600,17,1759
6600,18,1994
6600,19,2386
6600,20,2982
6600,21,3329
6600,22,3341
6600,23,2965
6600,24,1959
6600,25,1094
6600,26,393
6600,27,91
6600,28,19
6600,29,3
6600,30,1
6700,10,9
6700,11,217
6700,12,525
6700,13,686
6700,14,940
6700,15,1194
6700,16,1451
6700,17,1730
6700,18,1892
6700,19,2235
6700,20,2747
6700,21,3229
6700,22,3397
6700,23,2876
6700,24,1993
6700,25,1034
6700,26,400
6700,27,105
6700,28,14
6700,29,1
6700,30,3
6800,10,8
6800,11,179
6800,12,504
6800,13,697
6800,14,960
6800,15,1143
6800,16,1446
6800,17,1596
6800,18,1865
6800,19,2325
